id,label
0,0
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,0
10,0
11,0
12,0
13,1
14,1
15,0
16,1
17,1
18,1
19,1
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,1
28,1
29,1
30,0
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,0
42,1
43,1
44,0
45,0
46,1
47,0
48,1
49,1
50,0
51,1
52,0
53,1
54,1
55,0
56,0
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,0
65,0
66,0
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,0
101,0
102,1
103,0
104,1
105,1
106,0
107,0
108,1
109,0
110,1
111,1
112,1
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,1
122,0
123,0
124,0
125,1
126,1
127,0
128,1
129,1
130,0
131,0
132,1
133,0
134,1
135,1
136,0
137,0
138,1
139,0
140,0
141,0
142,1
143,1
144,0
145,1
146,1
147,1
148,1
149,0
150,1
151,1
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,0
162,1
163,0
164,1
165,1
166,1
167,0
168,1
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,1
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,1
200,1
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,1
209,0
210,1
211,1
212,0
213,0
214,0
215,1
216,0
217,1
218,1
219,0
220,1
221,0
222,0
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,1
231,1
232,1
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,1
241,0
242,1
243,0
244,0
245,1
246,0
247,1
248,0
249,1
250,1
251,0
252,0
253,1
254,0
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,1
264,0
265,1
266,0
267,0
268,1
269,0
270,0
271,0
272,1
273,0
274,0
275,0
276,1
277,0
278,0
279,0
280,0
281,1
282,0
283,0
284,1
285,0
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,0
294,1
295,0
296,1
297,0
298,1
299,1
300,1
301,1
302,0
303,0
304,1
305,1
306,1
307,0
308,1
309,1
310,0
311,0
312,1
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,0
324,0
325,1
326,1
327,0
328,0
329,1
330,1
331,0
332,0
333,0
334,0
335,1
336,0
337,1
338,0
339,1
340,0
341,1
342,1
343,1
344,1
345,1
346,0
347,1
348,1
349,1
350,0
351,1
352,1
353,1
354,0
355,0
356,1
357,1
358,0
359,0
360,0
361,1
362,0
363,1
364,1
365,0
366,0
367,0
368,1
369,1
370,1
371,1
372,0
373,1
374,1
375,1
376,0
377,1
378,1
379,0
380,0
381,1
382,0
383,1
384,1
385,0
386,0
387,1
388,1
389,1
390,0
391,1
392,0
393,0
394,0
395,1
396,0
397,1
398,1
399,1
400,1
401,1
402,0
403,1
404,1
405,0
406,1
407,0
408,1
409,1
410,0
411,1
412,1
413,0
414,1
415,1
416,1
417,0
418,1
419,1
420,0
421,1
422,0
423,1
424,1
425,0
426,1
427,0
428,1
429,0
430,1
431,0
432,1
433,1
434,1
435,0
436,1
437,1
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,0
448,1
449,0
450,0
451,0
452,1
453,0
454,1
455,0
456,0
457,1
458,0
459,1
460,0
461,1
462,1
463,0
464,0
465,0
466,1
467,0
468,1
469,1
470,0
471,1
472,0
473,0
474,0
475,1
476,1
477,1
478,0
479,0
480,1
481,0
482,1
483,1
484,0
485,1
486,1
487,1
488,0
489,0
490,0
491,1
492,1
493,0
494,0
495,0
496,0
497,1
498,1
499,0
500,1
501,1
502,1
503,0
504,1
505,0
506,1
507,1
508,1
509,0
510,1
511,0
512,1
513,1
514,0
515,0
516,1
517,1
518,1
519,1
520,0
521,0
522,0
523,1
524,1
525,0
526,0
527,1
528,1
529,0
530,0
531,0
532,0
